run_id,seed,model_id,feature_set,algorithm,n_features,cv_auc_roc,best_params_json,auc_roc,auc_pr,accuracy,precision,recall,specificity,f1,mcc,brier_score
9,51,Model_B_lightgbm,B,lightgbm,33,0.87315548641052,"{""colsample_bytree"": 0.6259543780866247, ""learning_rate"": 0.25366783082825495, ""min_child_samples"": 45, ""n_estimators"": 431, ""num_leaves"": 38, ""reg_alpha"": 3.2240414853806363, ""reg_lambda"": 1.7064827437330647, ""subsample"": 0.7085022086571822}",0.8279069767441861,0.7350802537790178,0.7698412698412699,0.6078431372549019,0.775,0.7674418604651163,0.6813186813186813,0.5144186417575554,0.15997183877840568
9,51,Model_B_random_forest,B,random_forest,33,0.8517366101258719,"{""class_weight"": ""balanced"", ""max_depth"": 14, ""min_samples_leaf"": 6, ""min_samples_split"": 20, ""n_estimators"": 185}",0.8654069767441861,0.7801469195935482,0.7777777777777778,0.6071428571428571,0.85,0.7441860465116279,0.7083333333333334,0.5566197817140071,0.15137675233156309
9,51,Model_B_xgboost,B,xgboost,33,0.8566329623376603,"{""colsample_bytree"": 0.9797351226600021, ""gamma"": 0.07883508438688197, ""learning_rate"": 0.022966532838854352, ""max_depth"": 8, ""min_child_weight"": 5, ""n_estimators"": 204, ""scale_pos_weight"": 2.5518918496910494, ""subsample"": 0.7136851994961158}",0.8340116279069768,0.7498450132740884,0.746031746031746,0.5666666666666667,0.85,0.6976744186046512,0.68,0.5104510296784488,0.1844703910475648
10,52,Model_A_catboost,A,catboost,20,0.875912567187735,"{""depth"": 6, ""iterations"": 53, ""l2_leaf_reg"": 1.7922677535908949, ""learning_rate"": 0.043927647748842336}",0.8494186046511627,0.7556760662244618,0.7936507936507936,0.6944444444444444,0.625,0.872093023255814,0.6578947368421053,0.5122056727163324,0.1395874778811441
10,52,Model_A_lightgbm,A,lightgbm,20,0.8728355355872135,"{""colsample_bytree"": 0.7004852523818998, ""learning_rate"": 0.1442822690317154, ""min_child_samples"": 34, ""n_estimators"": 425, ""num_leaves"": 86, ""reg_alpha"": 0.9933930510574351, ""reg_lambda"": 2.9946185710526407, ""subsample"": 0.7009715602954052}",0.8145348837209303,0.7072320825164866,0.7619047619047619,0.6470588235294118,0.55,0.8604651162790697,0.5945945945945946,0.43044939647295116,0.16254406879823138
10,52,Model_A_random_forest,A,random_forest,20,0.8728409617671363,"{""class_weight"": null, ""max_depth"": 10, ""min_samples_leaf"": 9, ""min_samples_split"": 4, ""n_estimators"": 67}",0.8656976744186046,0.7562761777242629,0.8333333333333334,0.7111111111111111,0.8,0.8488372093023255,0.7529411764705882,0.6303274240414326,0.139525464559071
10,52,Model_A_xgboost,A,xgboost,20,0.851544755907172,"{""colsample_bytree"": 0.7046567397278083, ""gamma"": 0.24923926600587892, ""learning_rate"": 0.1252140484759339, ""max_depth"": 9, ""min_child_weight"": 3, ""n_estimators"": 101, ""scale_pos_weight"": 2.023276255707824, ""subsample"": 0.677498525799184}",0.819186046511628,0.7037990956810191,0.7142857142857143,0.5416666666666666,0.65,0.7441860465116279,0.5909090909090909,0.3778440156716669,0.17340909920422853
10,52,Model_B_catboost,B,catboost,33,0.8779733528055675,"{""depth"": 4, ""iterations"": 393, ""l2_leaf_reg"": 6.325969143913396, ""learning_rate"": 0.04170756267511829}",0.8293604651162791,0.7327641536421771,0.753968253968254,0.6285714285714286,0.55,0.8488372093023255,0.5866666666666667,0.4144958357490573,0.14877248494717546
10,52,Model_B_lightgbm,B,lightgbm,33,0.8709615655924381,"{""colsample_bytree"": 0.7314643152460295, ""learning_rate"": 0.1654535743647608, ""min_child_samples"": 42, ""n_estimators"": 396, ""num_leaves"": 92, ""reg_alpha"": 3.963220385592989, ""reg_lambda"": 4.986654417699296, ""subsample"": 0.9063362977246713}",0.8171511627906975,0.7137631881912432,0.746031746031746,0.6,0.6,0.813953488372093,0.6,0.413953488372093,0.1636843924351521
10,52,Model_B_random_forest,B,random_forest,33,0.8466220479643298,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 7, ""min_samples_leaf"": 9, ""min_samples_split"": 5, ""n_estimators"": 394}",0.8587209302325582,0.7657288839213627,0.7857142857142857,0.6140350877192983,0.875,0.7441860465116279,0.7216494845360825,0.5790797909522378,0.17539073177060985
