row_type,name,original_feature,group,importance_mean,importance_sd,importance_median
feature,admission_origin_4,admission_origin,Patient Demographics,7.589597852637602e-05,0.00015419489539188514,0.0
feature,immunosuppression_1,immunosuppression,Clinical Severity,7.002057467420968e-05,7.891379665940192e-05,4.373152970600552e-05
feature,ecmo_status_1,ecmo_status,Medical Procedures,6.622474929603319e-05,8.100796420274532e-05,3.9179218233073836e-05
feature,antibiotic_at_admission_9,antibiotic_at_admission,Clinical Severity,4.392381873036045e-05,0.00011416328154334708,0.0
feature,admission_origin_5,admission_origin,Patient Demographics,2.03895850525991e-05,4.821373957644641e-05,0.0
feature,immunosuppression_9,immunosuppression,Clinical Severity,1.5269196124167995e-05,4.298688460245637e-05,0.0
feature,diagnostic_category_9,diagnostic_category,Clinical Severity,9.598619762785389e-06,2.985369263713877e-05,0.0
feature,nurse_anesthetist_staffing_etp,nurse_anesthetist_staffing_etp,Organizational Staffing,8.180458000749798e-06,2.920531079648714e-05,0.0
feature,admission_month_1,admission_month,Temporal,0.0,0.0,0.0
feature,admission_month_6,admission_month,Temporal,0.0,0.0,0.0
feature,admission_origin_6,admission_origin,Patient Demographics,0.0,0.0,0.0
feature,admission_origin_7,admission_origin,Patient Demographics,0.0,0.0,0.0
feature,admission_origin_9,admission_origin,Patient Demographics,0.0,0.0,0.0
group,Medical Procedures,,Medical Procedures,50.19786447256472,3.6480864720195236,50.536281910562664
group,Organizational Staffing,,Organizational Staffing,19.377779109779418,2.0056870177012907,19.044939626741048
group,Organizational Environment,,Organizational Environment,7.632031248051172,1.3735908042220004,7.669752585479847
group,Temporal,,Temporal,6.8456584200455435,2.150118726742142,6.4994142230187695
group,Clinical Severity,,Clinical Severity,6.630082418467794,0.8459385111617,6.490203250019654
group,Length of Stay,,Length of Stay,5.660228449410681,1.2000803571381589,5.105905918600234
group,Patient Demographics,,Patient Demographics,3.6563558816806805,0.6096864188829062,3.6559624229395937
