model_id,feature_set,algorithm,n_features,cv_auc_roc,auc_roc,auc_pr,accuracy,precision,recall,specificity,f1,mcc,brier,auc_roc_ci_low,auc_roc_ci_high,auc_pr_ci_low,auc_pr_ci_high,accuracy_ci_low,accuracy_ci_high,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,specificity_ci_low,specificity_ci_high,f1_ci_low,f1_ci_high,mcc_ci_low,mcc_ci_high,brier_ci_low,brier_ci_high,best_params_json,auc_roc_ci,auc_pr_ci,f1_ci,precision_ci,recall_ci,specificity_ci,mcc_ci,brier_ci
Model_A_catboost,A,catboost,20,0.8797558529102153,0.8726744186046511,0.8072424476521571,0.8412698412698413,0.7380952380952381,0.775,0.872093023255814,0.7560975609756098,0.6389717393757961,0.1415631414808965,0.7842090142049033,0.9386991279069768,0.6857624346363025,0.9114992889202936,0.7698412698412699,0.8968253968253969,0.5945945945945946,0.872406914893617,0.6285548172757475,0.8888888888888888,0.8,0.9397590361445785,0.631578947368421,0.8444600938967136,0.4790827185237384,0.7677265351649701,0.1187451639543417,0.1675234866519196,"{""depth"": 4, ""iterations"": 64, ""l2_leaf_reg"": 5.200021865155456, ""learning_rate"": 0.016819728608100482}","0.873 [0.784, 0.939]","0.807 [0.686, 0.911]","0.756 [0.632, 0.844]","0.738 [0.595, 0.872]","0.775 [0.629, 0.889]","0.872 [0.800, 0.940]","0.639 [0.479, 0.768]","0.142 [0.119, 0.168]"
Model_A_lightgbm,A,lightgbm,20,0.8795252402634953,0.860174418604651,0.7405246296326273,0.8333333333333334,0.7317073170731707,0.75,0.872093023255814,0.7407407407407407,0.6180635909967236,0.1342528769262484,0.7736596504450186,0.9279159020386374,0.595816663627817,0.8852201965008699,0.7619047619047619,0.8890873015873013,0.5853150406504065,0.8718085106382979,0.6,0.8648648648648649,0.8,0.9397590361445785,0.6129032258064516,0.8372250157133878,0.4585889368803945,0.7491965584109797,0.1029101267497226,0.1718954566297064,"{""colsample_bytree"": 0.952694173334782, ""learning_rate"": 0.12138356643799786, ""min_child_samples"": 48, ""n_estimators"": 376, ""num_leaves"": 113, ""reg_alpha"": 4.87941175568838, ""reg_lambda"": 1.095892530821731, ""subsample"": 0.8847387078326654}","0.860 [0.774, 0.928]","0.741 [0.596, 0.885]","0.741 [0.613, 0.837]","0.732 [0.585, 0.872]","0.750 [0.600, 0.865]","0.872 [0.800, 0.940]","0.618 [0.459, 0.749]","0.134 [0.103, 0.172]"
Model_A_random_forest,A,random_forest,20,0.8830437303591666,0.8595930232558139,0.7787726228315157,0.8015873015873016,0.7142857142857143,0.625,0.8837209302325582,0.6666666666666666,0.5286936680472669,0.1356064722177727,0.77320249096365,0.9255607057416269,0.6512727656318077,0.8883883761324156,0.7301587301587301,0.8650793650793651,0.5588064295485636,0.8666666666666667,0.4679683445770628,0.7631578947368421,0.8101115129596143,0.9493670886075948,0.53125,0.7777777777777778,0.3584561865821581,0.6827927436028028,0.1073700175479532,0.1685388896181574,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 8, ""min_samples_leaf"": 2, ""min_samples_split"": 14, ""n_estimators"": 425}","0.860 [0.773, 0.926]","0.779 [0.651, 0.888]","0.667 [0.531, 0.778]","0.714 [0.559, 0.867]","0.625 [0.468, 0.763]","0.884 [0.810, 0.949]","0.529 [0.358, 0.683]","0.136 [0.107, 0.169]"
Model_A_xgboost,A,xgboost,20,0.8617475244992023,0.8462209302325582,0.7603000661221851,0.746031746031746,0.5689655172413793,0.825,0.7093023255813954,0.673469387755102,0.498996882807268,0.175489504611056,0.7662793921916593,0.913587792927018,0.636411916489572,0.8691790831380661,0.6666666666666666,0.8174603174603174,0.4399848484848485,0.6982042370076132,0.7027027027027027,0.926829268292683,0.6105228981544771,0.7976190476190477,0.5569620253164557,0.7736146523882373,0.3567515329028556,0.6393069000816062,0.1439377627999974,0.2095216844845882,"{""colsample_bytree"": 0.6870748705312015, ""gamma"": 0.4807454532458633, ""learning_rate"": 0.010243197762966, ""max_depth"": 9, ""min_child_weight"": 1, ""n_estimators"": 194, ""scale_pos_weight"": 4.977207706805666, ""subsample"": 0.8181483078131193}","0.846 [0.766, 0.914]","0.760 [0.636, 0.869]","0.673 [0.557, 0.774]","0.569 [0.440, 0.698]","0.825 [0.703, 0.927]","0.709 [0.611, 0.798]","0.499 [0.357, 0.639]","0.175 [0.144, 0.210]"
Model_B_catboost,B,catboost,37,0.875812570443443,0.8726744186046511,0.7828974326177829,0.8253968253968254,0.6875,0.825,0.8255813953488372,0.75,0.6236098134758042,0.1552519643084769,0.7892586384028496,0.9363505868172568,0.6490426637366812,0.9013679061871848,0.753968253968254,0.8888888888888888,0.5510204081632653,0.82,0.6943910256410256,0.9268728222996516,0.7435393258426967,0.9047619047619048,0.6329113924050633,0.8444444444444444,0.4721687543239562,0.7580331310214266,0.1316528262563926,0.1807529296943236,"{""depth"": 4, ""iterations"": 112, ""l2_leaf_reg"": 7.180793608976547, ""learning_rate"": 0.010107037493361334}","0.873 [0.789, 0.936]","0.783 [0.649, 0.901]","0.750 [0.633, 0.844]","0.688 [0.551, 0.820]","0.825 [0.694, 0.927]","0.826 [0.744, 0.905]","0.624 [0.472, 0.758]","0.155 [0.132, 0.181]"
Model_B_random_forest,B,random_forest,37,0.8559717435556362,0.869186046511628,0.7827772843341612,0.7857142857142857,0.6181818181818182,0.85,0.7558139534883721,0.7157894736842105,0.5686014648962336,0.1722645203324355,0.7839869298736293,0.9325902411526408,0.6505538714182517,0.8907859396476626,0.7142857142857143,0.8571428571428571,0.4901960784313725,0.75,0.7241379310344828,0.9474021592442644,0.6627871952927991,0.8461538461538461,0.5925925925925926,0.8085564930300806,0.416072415455987,0.7016146892992194,0.1468784065661541,0.1972246861999562,"{""class_weight"": ""balanced"", ""max_depth"": 15, ""min_samples_leaf"": 9, ""min_samples_split"": 20, ""n_estimators"": 337}","0.869 [0.784, 0.933]","0.783 [0.651, 0.891]","0.716 [0.593, 0.809]","0.618 [0.490, 0.750]","0.850 [0.724, 0.947]","0.756 [0.663, 0.846]","0.569 [0.416, 0.702]","0.172 [0.147, 0.197]"
Model_B_lightgbm,B,lightgbm,37,0.8758654756976905,0.8375000000000001,0.7704002371734708,0.7777777777777778,0.62,0.775,0.7790697674418605,0.6888888888888889,0.5271714433864512,0.1507479961563826,0.7423226736752446,0.912427844511178,0.6450452054657175,0.8749892292853477,0.6984126984126984,0.8492063492063492,0.4814814814814814,0.7551133786848072,0.6341463414634146,0.8863636363636364,0.6913154533844189,0.8607830595206033,0.5640625,0.791220238095238,0.3616637660078611,0.6759181698885768,0.118972833648685,0.1881113333077358,"{""colsample_bytree"": 0.9396703829947514, ""learning_rate"": 0.17305577533696775, ""min_child_samples"": 43, ""n_estimators"": 260, ""num_leaves"": 49, ""reg_alpha"": 4.210001734483437, ""reg_lambda"": 0.814500622940161, ""subsample"": 0.9268500267059848}","0.838 [0.742, 0.912]","0.770 [0.645, 0.875]","0.689 [0.564, 0.791]","0.620 [0.481, 0.755]","0.775 [0.634, 0.886]","0.779 [0.691, 0.861]","0.527 [0.362, 0.676]","0.151 [0.119, 0.188]"
Model_B_xgboost,B,xgboost,37,0.8561959610617328,0.8142441860465116,0.7241114670046223,0.7142857142857143,0.5370370370370371,0.725,0.7093023255813954,0.6170212765957447,0.4085152260595443,0.1751374472931751,0.7198704589437205,0.8862529516283761,0.5901081478895852,0.8366616550385196,0.6349206349206349,0.7936507936507936,0.4,0.6666666666666666,0.5641025641025641,0.8511107634543179,0.6110930735930736,0.8052456579565014,0.4871794871794871,0.7207878090856813,0.2340517549148444,0.5623488691175613,0.1393086843258536,0.2136342900441209,"{""colsample_bytree"": 0.9564536948962392, ""gamma"": 0.005139687665829035, ""learning_rate"": 0.07932904135298396, ""max_depth"": 7, ""min_child_weight"": 6, ""n_estimators"": 69, ""scale_pos_weight"": 1.6214562722495551, ""subsample"": 0.905271836306174}","0.814 [0.720, 0.886]","0.724 [0.590, 0.837]","0.617 [0.487, 0.721]","0.537 [0.400, 0.667]","0.725 [0.564, 0.851]","0.709 [0.611, 0.805]","0.409 [0.234, 0.562]","0.175 [0.139, 0.214]"
